,Brand,Model,AccelSec,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Brand and Model,TopSpeed_mph,Range_Mi,PriceUS
66,Nissan ,e-NV200 Evalia ,14.0,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,Nissan e-NV200 Evalia ,76.0,118.0,39895.0
67,Tesla ,Cybertruck Dual Motor,5.0,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,Tesla Cybertruck Dual Motor,118.0,286.0,66000.0
68,Renault ,Kangoo Maxi ZE 33,22.4,194,-,No,FWD,Type 2,SPV,N,5,Renault Kangoo Maxi ZE 33,81.0,99.0,45600.0
69,Ford ,Mustang Mach-E ER AWD,6.0,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,Ford Mustang Mach-E ER AWD,112.0,267.0,75480.0
70,BMW ,i3s 120 Ah,6.9,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,BMW i3s 120 Ah,99.0,143.0,49831.0
71,Skoda ,Enyaq iV 80X,7.0,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,Skoda Enyaq iV 80X,99.0,249.0,54000.0
72,Porsche ,Taycan Cross Turismo ,3.5,217,770,Yes,AWD,Type 2 CCS,Station,F,4,Porsche Taycan Cross Turismo ,155.0,239.0,180000.0
73,Byton ,M-Byte 95 kWh 4WD,5.5,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,Byton M-Byte 95 kWh 4WD,118.0,242.0,76800.0
74,Sono ,Sion ,9.0,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,Sono Sion ,87.0,140.0,30600.0
75,Kia ,e-Niro 39 kWh,9.8,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,Kia e-Niro 39 kWh,96.0,146.0,41280.0
76,Audi ,Q4 Sportback e-tron ,6.3,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,Audi Q4 Sportback e-tron ,112.0,255.0,69000.0
77,Smart ,EQ forfour ,12.7,176,-,No,RWD,Type 2,Hatchback,A,4,Smart EQ forfour ,81.0,59.0,26436.0
